Time,Open,High,Low,Last,Change,%Chg,Volume
04/26/2024,105.6,106.19,105.41,106.09,0.49,+0.46%,0
04/25/2024,105.81,106,105.51,105.6,-0.26,-0.25%,0
04/24/2024,105.68,105.95,105.59,105.86,0.18,+0.17%,0
04/23/2024,106.13,106.24,105.61,105.68,-0.4,-0.38%,0
04/22/2024,106.1,106.39,105.98,106.08,-0.07,-0.07%,0
04/19/2024,106.18,106.35,105.85,106.15,0,0.00%,0
04/18/2024,105.96,106.18,105.74,106.15,0.2,+0.19%,0
04/17/2024,106.34,106.44,105.87,105.95,-0.31,-0.29%,0
04/16/2024,106.2,106.52,106.07,106.26,0.05,+0.05%,0
04/15/2024,106.02,106.25,105.84,106.21,0.2,+0.19%,0
04/12/2024,105.27,106.11,105.24,106.01,0.73,+0.69%,0
04/11/2024,105.2,105.53,105.03,105.28,0.03,+0.03%,0
04/10/2024,104.1,105.3,104.02,105.25,1.1,+1.06%,0
04/09/2024,104.11,104.2,103.88,104.15,0.01,+0.01%,0
04/08/2024,104.29,104.44,104.1,104.14,-0.14,-0.13%,0
04/05/2024,104.22,104.69,104.13,104.28,0.16,+0.15%,0
04/04/2024,104.22,104.26,103.92,104.12,-0.13,-0.12%,0
04/03/2024,104.78,104.84,104.22,104.25,-0.57,-0.54%,0
04/02/2024,105,105.1,104.68,104.82,-0.2,-0.19%,0
04/01/2024,104.49,105.07,104.42,105.02,0.53,+0.51%,0
03/29/2024,104.53,104.67,104.41,104.49,-0.06,-0.06%,0
03/28/2024,104.43,104.73,104.31,104.55,0.2,+0.19%,0
03/27/2024,104.3,104.46,104.22,104.35,0.05,+0.05%,0
03/26/2024,104.23,104.34,104.01,104.3,0.07,+0.07%,0
03/25/2024,104.4,104.47,104.14,104.23,-0.2,-0.19%,0
03/22/2024,104,104.5,103.92,104.43,0.43,+0.41%,0
03/21/2024,103.24,104.05,103.17,104,0.76,+0.74%,0
03/20/2024,103.87,104.15,103.24,103.24,-0.63,-0.61%,0
03/19/2024,103.58,104.06,103.58,103.87,0.29,+0.28%,0
03/18/2024,103.43,103.65,103.33,103.58,0.13,+0.13%,0
03/15/2024,103.39,103.49,103.3,103.45,0.09,+0.09%,0
03/14/2024,102.76,103.4,102.74,103.36,0.57,+0.55%,0
03/13/2024,102.93,103.02,102.67,102.79,-0.17,-0.17%,0
03/12/2024,102.79,103.18,102.72,102.96,0.09,+0.09%,0
03/11/2024,102.73,102.93,102.64,102.87,0.13,+0.13%,0
03/08/2024,102.73,102.9,102.36,102.74,-0.08,-0.08%,0
03/07/2024,103.31,103.35,102.79,102.82,-0.55,-0.53%,0
03/06/2024,103.81,103.89,103.2,103.37,-0.43,-0.41%,0
03/05/2024,103.85,103.95,103.58,103.8,-0.03,-0.03%,0
03/04/2024,103.88,103.96,103.73,103.83,-0.06,-0.06%,0
03/01/2024,104.13,104.29,103.84,103.89,-0.27,-0.26%,0
02/29/2024,103.92,104.2,103.66,104.16,0.19,+0.18%,0
02/28/2024,103.84,104.24,103.81,103.97,0.14,+0.13%,0
02/27/2024,103.78,103.92,103.61,103.83,0,0.00%,0
02/26/2024,103.93,104.02,103.71,103.83,-0.11,-0.11%,0
02/23/2024,103.95,104.05,103.77,103.94,-0.02,-0.02%,0
02/22/2024,103.91,104.13,103.43,103.96,-0.05,-0.05%,0
02/21/2024,104.04,104.21,103.94,104.01,-0.07,-0.07%,0
02/20/2024,104.32,104.41,103.8,104.08,-0.21,-0.20%,0
02/19/2024,104.28,104.37,104.14,104.29,0.01,+0.01%,0
02/16/2024,104.3,104.67,104.17,104.28,-0.02,-0.02%,0
02/15/2024,104.66,104.71,104.18,104.3,-0.42,-0.40%,0
02/14/2024,104.83,104.98,104.66,104.72,-0.24,-0.23%,0
02/13/2024,104.18,104.96,103.97,104.96,0.79,+0.76%,0
02/12/2024,104.08,104.28,103.89,104.17,0.09,+0.09%,0
02/09/2024,104.14,104.26,103.95,104.08,-0.09,-0.09%,0
02/08/2024,104.03,104.43,103.96,104.17,0.11,+0.11%,0
02/07/2024,104.15,104.17,103.94,104.06,-0.15,-0.14%,0
02/06/2024,104.44,104.59,104.14,104.21,-0.24,-0.23%,0
02/05/2024,104.01,104.6,103.99,104.45,0.49,+0.47%,0
02/02/2024,102.99,104.04,102.9,103.96,0.91,+0.88%,0
02/01/2024,103.51,103.81,103.02,103.05,-0.22,-0.21%,0
01/31/2024,103.42,103.74,102.94,103.27,-0.13,-0.13%,0
01/30/2024,103.44,103.61,103.31,103.4,-0.21,-0.20%,0
01/29/2024,103.51,103.82,103.4,103.61,0.14,+0.14%,0
01/26/2024,103.51,103.73,103.15,103.47,-0.1,-0.10%,0
01/25/2024,103.35,103.68,103.12,103.57,0.33,+0.32%,0
01/24/2024,103.51,103.55,102.77,103.24,-0.38,-0.37%,0
01/23/2024,103.35,103.82,102.98,103.62,0.29,+0.28%,0
01/22/2024,103.27,103.37,103.11,103.33,0.09,+0.09%,0
01/19/2024,103.37,103.55,103.24,103.24,-0.3,-0.29%,0
01/18/2024,103.37,103.63,103.15,103.54,0.09,+0.09%,0
01/17/2024,103.36,103.69,103.26,103.45,0.09,+0.09%,0
01/16/2024,102.74,103.43,102.74,103.36,0.96,+0.94%,0
01/15/2024,102.44,102.67,102.31,102.4,-0.04,-0.04%,0
01/12/2024,102.3,102.59,102.09,102.44,0.15,+0.15%,0
01/11/2024,102.3,102.76,102.16,102.29,-0.07,-0.07%,0
01/10/2024,102.48,102.64,102.34,102.36,-0.21,-0.20%,0
01/09/2024,102.22,102.66,102.11,102.57,0.36,+0.35%,0
01/08/2024,102.41,102.62,102.07,102.21,-0.22,-0.21%,0
01/05/2024,102.39,103.1,101.91,102.43,0.01,+0.01%,0
01/04/2024,102.46,102.53,102.14,102.42,-0.07,-0.07%,0
01/03/2024,102.15,102.73,102.07,102.49,0.29,+0.28%,0
01/02/2024,101.42,102.25,101.34,102.2,0.82,+0.81%,0
01/01/2024,101.38,101.42,101.07,101.38,0,0.00%,0
12/29/2023,101.2,101.42,101.07,101.38,0.15,+0.15%,0
12/28/2023,100.87,101.3,100.62,101.23,0.24,+0.24%,0
12/27/2023,101.55,101.57,100.83,100.99,-0.48,-0.47%,0
12/26/2023,101.65,101.77,101.44,101.47,-0.24,-0.24%,0
12/22/2023,101.76,101.89,101.43,101.71,-0.13,-0.13%,0
12/21/2023,102.39,102.45,101.74,101.84,-0.57,-0.56%,0
12/20/2023,102.19,102.54,102.16,102.41,0.24,+0.23%,0
12/19/2023,102.47,102.63,102.07,102.17,-0.39,-0.38%,0
12/18/2023,102.59,102.63,102.38,102.56,-0.03,-0.03%,0
12/15/2023,102.1,102.64,101.84,102.59,0.63,+0.62%,0
12/14/2023,102.78,102.8,101.77,101.96,-0.91,-0.88%,0
12/13/2023,103.82,104.03,102.78,102.87,-0.99,-0.95%,0
12/12/2023,104.03,104.1,103.49,103.86,-0.24,-0.23%,0
12/11/2023,104,104.26,103.93,104.1,0.12,+0.12%,0
12/08/2023,103.64,104.26,103.43,103.98,0.44,+0.42%,0
12/07/2023,104.11,104.2,103.27,103.54,-0.61,-0.59%,0
12/06/2023,103.99,104.23,103.87,104.15,0.1,+0.10%,0
12/05/2023,103.56,104.09,103.55,104.05,0.34,+0.33%,0
12/04/2023,103.18,103.85,103.06,103.71,0.44,+0.43%,0
12/01/2023,103.36,103.72,103.11,103.27,-0.23,-0.22%,0
11/30/2023,102.83,103.59,102.72,103.5,0.74,+0.72%,0
11/29/2023,102.65,103.01,102.47,102.76,0.01,+0.01%,0
11/28/2023,103.12,103.32,102.61,102.75,-0.45,-0.44%,0
11/27/2023,103.4,103.53,103.19,103.2,-0.21,-0.20%,0
11/24/2023,103.74,103.84,103.35,103.41,-0.33,-0.32%,0
11/23/2023,103.85,103.92,103.53,103.74,-0.14,-0.13%,0
11/22/2023,103.54,104.21,103.48,103.88,0.33,+0.32%,0
11/21/2023,103.46,103.7,103.17,103.55,0.11,+0.11%,0
11/20/2023,103.83,103.97,103.37,103.44,-0.37,-0.36%,0
11/17/2023,104.39,104.55,103.81,103.81,-0.56,-0.54%,0
11/16/2023,104.35,104.55,104,104.37,0,0.00%,0
11/15/2023,104.21,104.51,103.98,104.37,0.31,+0.30%,0
11/14/2023,105.64,105.73,103.98,104.06,-1.59,-1.50%,0
11/13/2023,105.79,105.95,105.58,105.65,-0.15,-0.14%,0
11/10/2023,105.92,106,105.74,105.8,-0.11,-0.10%,0
11/09/2023,105.53,105.96,105.37,105.91,0.37,+0.35%,0
11/08/2023,105.53,105.87,105.44,105.54,0.03,+0.03%,0
11/07/2023,105.27,105.77,105.26,105.51,0.26,+0.25%,0
11/06/2023,105.09,105.29,104.84,105.25,0.19,+0.18%,0
11/03/2023,106.2,106.22,104.94,105.06,-1.14,-1.07%,0
11/02/2023,106.46,106.51,105.81,106.2,-0.27,-0.25%,0
11/01/2023,106.67,107.11,106.46,106.47,-0.2,-0.19%,0
"Downloaded from Barchart.com as of 12-07-2024 02:44pm CST"
